trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.5, 'e': 0.0285620465009152}",20,3,17.605986998773744,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.027990805570896896}",35,21,23.003741298671017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.027430989459478958}",35,18,24.622881673149774,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.026882369670289376}",30,17,-14.969486508692983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.02634472227688359}",25,0,35.85605589310762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.025817827831345917}",20,10,18.331118451671458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.025301471274718997}",30,0,-13.62996789925082,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
184,False,"{'a': 0.5, 'e': 0.024795441849224616}",35,15,41.100128444027725,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.024299533012240124}",35,15,36.14394008757669,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.023813542351995322}",20,3,16.731564503973882,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.023337271504955414}",25,19,11.215497632371465,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.022870526074856307}",20,16,5.6609925370803325,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.02241311555335918}",20,0,28.932268006168222,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.021964853242291995}",25,15,18.11431877145123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.021525556177446156}",25,9,27.752279634659992,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.02109504505389723}",20,0,25.790858844987092,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.020673144152819286}",25,18,14.090381179606887,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.0202596812697629}",25,0,36.30917150512411,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.019854487644367643}",25,13,11.41015866198677,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.01945739789148029}",25,11,21.61986259899584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.019068249933650683}",35,23,2.4217556536134186,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.01868688493497767}",20,2,-17.23949373340689,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
